	80	61
0.144541	5.5	1.50544e-08	0.00e-25	0.144541	1.000
0.144541	8.52948	8.56876e-11	3.42067e-10	0.144541	0.0294783
0.144541	8.65479	3.47596e-10	1.37044e-09	0.144541	0.125309
0.144541	8.87807	4.36234e-10	1.68725e-09	0.144541	0.223281
0.144541	9.1957	4.2352e-10	1.60208e-09	0.144541	0.317637
0.144541	9.60249	3.68779e-10	1.36421e-09	0.144541	0.406783
0.144541	10.0917	3.01302e-10	1.0918e-09	0.144541	0.489251
0.144541	10.6554	2.36017e-10	8.39813e-10	0.144541	0.563687
0.144541	11.2843	1.79683e-10	6.29518e-10	0.144541	0.628867
0.144541	11.968	1.34269e-10	4.64358e-10	0.144541	0.683721
0.144541	12.6954	9.92205e-11	3.39517e-10	0.144541	0.727349
0.144541	13.4544	7.29249e-11	2.47398e-10	0.144541	0.759033
0.144541	14.2327	5.35411e-11	1.80388e-10	0.144541	0.778255
0.144541	15.0173	3.93809e-11	1.31952e-10	0.144541	0.784697
0.144541	15.7956	2.91043e-11	9.7095e-11	0.144541	0.778255
0.144541	16.5546	2.16291e-11	7.19087e-11	0.144541	0.759033
0.144541	17.282	1.61701e-11	5.36122e-11	0.144541	0.727349
0.144541	17.9657	1.21548e-11	4.02103e-11	0.144541	0.683721
0.144541	18.5946	9.17065e-12	3.02835e-11	0.144541	0.628867
0.144541	19.1583	6.92186e-12	2.28235e-11	0.144541	0.563687
0.144541	19.6475	5.19597e-12	1.71117e-11	0.144541	0.489252
0.144541	20.0543	3.83919e-12	1.26309e-11	0.144541	0.406783
0.144541	20.3719	2.73831e-12	9.00214e-12	0.144541	0.317637
0.144541	20.5952	1.80766e-12	5.93942e-12	0.144541	0.223281
0.144541	20.7205	9.79622e-13	3.21776e-12	0.144541	0.125309
0.144541	21.098	2.65941e-12	8.72725e-12	0.144541	0.377521
0.144541	22.5598	6.99171e-12	2.28554e-11	0.144541	1.46174
0.144541	25.0931	6.53168e-12	2.11566e-11	0.144541	2.5333
0.144541	28.5394	4.18912e-12	1.32746e-11	0.144541	3.44629
0.144541	32.6822	2.27915e-12	6.86603e-12	0.144541	4.14281
0.144541	37.2612	1.18551e-12	3.22118e-12	0.144541	4.57904
0.144541	41.9888	6.37115e-13	1.44679e-12	0.144541	4.72756
0.144541	46.5678	3.6777e-13	6.42722e-13	0.144541	4.57904
0.144541	50.7106	2.27626e-13	2.88492e-13	0.144541	4.14281
0.144541	54.1569	1.45937e-13	1.32624e-13	0.144541	3.44629
0.144541	56.6902	9.09899e-14	6.21948e-14	0.144541	2.5333
0.144541	58.152	4.81662e-14	2.74676e-14	0.144541	1.46174
0.144541	60.8049	7.58199e-14	3.00413e-14	0.144541	2.65296
0.144541	70.4853	1.83571e-13	1.01645e-14	0.144541	9.68042
0.144541	87.2622	1.89751e-13	8.8612e-15	0.144541	16.7768
0.144541	110.085	1.4526e-13	4.4983e-14	0.144541	22.8231
0.144541	137.521	9.47624e-14	5.92602e-14	0.144541	27.4358
0.144541	167.846	5.73396e-14	5.28925e-14	0.144541	30.3248
0.144541	199.154	3.40358e-14	4.05019e-14	0.144541	31.3084
0.144541	229.479	2.04194e-14	2.91134e-14	0.144541	30.3248
0.144541	256.915	1.23232e-14	1.98409e-14	0.144541	27.4358
0.144541	279.738	7.51295e-15	1.33153e-14	0.144541	22.8231
0.144541	296.515	4.49051e-15	8.35298e-15	0.144541	16.7768
0.144541	306.195	2.45995e-15	4.87461e-15	0.144541	9.68042
0.144541	311.266	1.22339e-15	2.48834e-15	0.144541	5.07083
0.144541	322.882	2.23609e-15	4.58959e-15	0.144541	11.6165
0.144541	343.015	3.19283e-15	6.73062e-15	0.144541	20.1322
0.144541	370.402	3.2177e-15	7.67595e-15	0.144541	27.3877
0.144541	403.325	3.92955e-15	9.97863e-15	0.144541	32.923
0.144541	439.715	1.28085e-15	1.90728e-15	0.144541	36.3897
0.144541	477.285	5.48063e-15	1.70215e-14	0.144541	37.57
0.144541	513.675	1.39566e-15	2.10302e-16	0.144541	36.3897
0.144541	546.598	9.13122e-15	2.63631e-14	0.144541	32.923
0.144541	573.985	1.09997e-15	3.59358e-18	0.144541	27.3877
0.144541	594.118	3.99079e-15	5.98026e-15	0.144541	20.1322
0.144541	605.734	4.23289e-16	1.58191e-16	0.144541	11.6165
1.30054	5.5	9.74148e-06	0.00e-25	1.156	1.000
1.30054	8.52948	5.54545e-08	2.21375e-07	1.156	0.0294783
1.30054	8.65479	2.24956e-07	8.8692e-07	1.156	0.125309
1.30054	8.87807	2.82327e-07	1.09197e-06	1.156	0.223281
1.30054	9.1957	2.74107e-07	1.03688e-06	1.156	0.317637
1.30054	9.60249	2.38685e-07	8.8295e-07	1.156	0.406783
1.30054	10.0917	1.95018e-07	7.06661e-07	1.156	0.489251
1.30054	10.6554	1.52767e-07	5.4358e-07	1.156	0.563687
1.30054	11.2843	1.16307e-07	4.07475e-07	1.156	0.628867
1.30054	11.968	8.69136e-08	3.00579e-07	1.156	0.683721
1.30054	12.6954	6.4228e-08	2.19775e-07	1.156	0.727349
1.30054	13.4544	4.72073e-08	1.60148e-07	1.156	0.759033
1.30054	14.2327	3.466e-08	1.16772e-07	1.156	0.778255
1.30054	15.0173	2.54939e-08	8.54193e-08	1.156	0.784697
1.30054	15.7956	1.88414e-08	6.28557e-08	1.156	0.778255
1.30054	16.5546	1.40023e-08	4.65516e-08	1.156	0.759033
1.30054	17.282	1.04684e-08	3.47074e-08	1.156	0.727349
1.30054	17.9657	7.86901e-09	2.60316e-08	1.156	0.683721
